[SIGLA DA INSTALAÇÃO],[NOME DA INSTALAÇÃO],[CAMPOS],[BACIA],[OPERADOR],[CLASSIFICAÇÃO],[LÂMINA D'ÁGUA (m)],[SISTEMA DE ESCOAMENTO],[ANO DE INÍCIO DE OPERAÇÃO],[LATITUDE],[LONGITUDE],[CAPACIDADE DE PRODUÇÃO DE PETRÓLEO (bbl/d)],[CAPACIDADE DE PRODUÇÃO DE GÁS NATURAL (Mil m³/d)]
PEREGRINO 1,FPSO PEREGRINO,PEREGRINO,CAMPOS,EQUINOR BRASIL ENERGIA LTDA.,Floating Production Storage Offloading - FPSO,98,Navio Aliviador,2011,-23.31725556,-41.25740278,18239,364
P-65,PLATAFORMA 65,BONITO / ENCHOVA,CAMPOS,TRIDENT ENERGY DO BRASIL LTDA.,Semissubmersível - SS,120,Duto,1966,-22.70183667,-40.67710639,33320,49
P-25,PETROBRAS 25,ALBACORA / ALBACORA LESTE,CAMPOS,PETRÓLEO BRASILEIRO S.A.,Semissubmersível - SS,570,Duto,1997,-22.10955528,-39.91673278,120000,3250
P-70,PETROBRAS 70,AnC_NORTE_ATAPU / ATAPU / ATAPU_ECO / OESTE DE ATAPU,SANTOS,PETRÓLEO BRASILEIRO S.A.,Floating Production Storage Offloading - FPSO,2288,Navio Aliviador,2020,-24.95207056,-42.46838000,150955,7000
P-68,PETROBRAS 68,BERBIGÃO / SUL DE BERBIGÃO / SURURU,SANTOS,PETRÓLEO BRASILEIRO S.A.,Floating Production Storage Offloading - FPSO,2280,Navio Aliviador,2018,-25.02295278,-42.66778889,150000,6000
BRAVO,FPSO BRAVO,POLVO / TUBARÃO MARTELO,CAMPOS,PRIO BRAVO LTDA.,Floating Production Storage Offloading - FPSO,105,Navio Aliviador,2013,-23.13582222,-41.07353056,100000,1500
FPSO CRC,FPSO CARIOCA,SÉPIA / SÉPIA LESTE / SÉPIA_ECO,SANTOS,PETRÓLEO BRASILEIRO S.A.,Floating Production Storage Offloading - FPSO,2140,Navio Aliviador,2021,-25.22704306,-42.57025250,150000,6000
FPCI,FPSO CIDADE DE ITAJAÍ,BAÚNA,SANTOS,KAROON PETRÓLEO E GÁS LTDA.,Floating Production Storage Offloading - FPSO,275,Navio Aliviador,2013,-26.46462444,-46.53012444,80000,2000
WHPC,PEREGRINO C,PEREGRINO / PITANGOLA,CAMPOS,EQUINOR BRASIL ENERGIA LTDA.,Plataforma Fixa - Jaqueta,121,Duto,2021,-23.34819333,-41.40877444,,
P-76,PETROBRAS 76,BÚZIOS / BÚZIOS_ECO / TAMBUATÁ,SANTOS,PETRÓLEO BRASILEIRO S.A.,Floating Production Storage Offloading - FPSO,2025,Navio Aliviador,2018,-24.68898056,-42.50583056,150955,7000
P-75,PETROBRAS 75,BÚZIOS / BÚZIOS_ECO / TAMBUATÁ,SANTOS,PETRÓLEO BRASILEIRO S.A.,Floating Production Storage Offloading - FPSO,2015,Navio Aliviador,2018,-24.78901472,-42.50973611,150955,7000
P-74,PETROBRAS 74,BÚZIOS / BÚZIOS_ECO / TAMBUATÁ,SANTOS,PETRÓLEO BRASILEIRO S.A.,Floating Production Storage Offloading - FPSO,1950,Navio Aliviador,2018,-24.64806556,-42.51781444,150955,7000
FPBAR,FPSO ALMIRANTE BARROSO,BÚZIOS / BÚZIOS_ECO / TAMBUATÁ,SANTOS,PETRÓLEO BRASILEIRO S.A.,Floating Production Storage Offloading - FPSO,1900,Navio Aliviador,2023,-24.59253250,-42.56725167,150000,6000
P-77,PETROBRAS 77,BÚZIOS / BÚZIOS_ECO / TAMBUATÁ,SANTOS,PETRÓLEO BRASILEIRO S.A.,Floating Production Storage Offloading - FPSO,1980,Navio Aliviador,2019,-24.63649611,-42.41198972,150955,7000
PMXL-1,PLATAFORMA DE MEXILHÃO,MEXILHÃO,SANTOS,PETRÓLEO BRASILEIRO S.A.,Plataforma Fixa - Jaqueta,172,Duto,2011,-24.35316389,-44.38281361,19554,15000
FPSO GNB,FPSO GUANABARA,AnC_MERO / MERO,SANTOS,PETRÓLEO BRASILEIRO S.A.,Floating Production Storage Offloading - FPSO,1930,Navio Aliviador,2021,-24.58365556,-42.25626667,179894,13358
FPSTB,FPSO SEPETIBA,AnC_MERO / MERO,SANTOS,PETRÓLEO BRASILEIRO S.A.,Floating Production Storage Offloading - FPSO,2000,Navio Aliviador,2023,-24.63081444,-42.26445806,180000,12000
FPPL,FPSO PIONEIRO DE LIBRA,AnC_MERO / MERO,SANTOS,PETRÓLEO BRASILEIRO S.A.,Floating Production Storage Offloading - FPSO,2040,Navio Aliviador,2017,-24.65812500,-42.23208333,50318,5380
FPCGZ,FPSO CIDADE DE CAMPOS DOS GOYTACAZES,ESPADARTE / TARTARUGA VERDE / TARTARUGA VERDE SUDOESTE,CAMPOS,PETRÓLEO BRASILEIRO S.A.,Floating Production Storage Offloading - FPSO,765,Navio Aliviador,2018,-22.95337917,-40.72554611,150000,3300
PJ-1,PETROJARL 1,ATLANTA,SANTOS,ENAUTA ENERGIA S.A.,Floating Production Storage Offloading - FPSO,1537,Navio Aliviador,2018,-24.12492222,-41.88520278,35000,480
FORTE,FPSO FORTE,ALBACORA / ALBACORA LESTE,CAMPOS,PETRO RIO JAGUAR PETRÓLEO SA.,Floating Production Storage Offloading - FPSO,1230,Navio Aliviador,2006,-22.08638778,-39.82799861,180000,6000
CVIX,FPSO CIDADE DE VITÓRIA,GOLFINHO,ESPÍRITO SANTO,BW ENERGY MAROMBA DO BRASIL LTDA,Floating Production Storage Offloading - FPSO,1386,Navio Aliviador,2007,-20.04277778,-39.52555556,100637,3500
